时段(h),负荷(kW),风电消纳(kW),光伏消纳(kW),网购电(kW),充电(kW),放电(kW),时段末SOC(kWh),分时电价(元/kWh)
0,453.0,0.0,0.0,453.0,0.0,-0.0,147.59,0.4
1,438.0,0.0,0.0,438.0,0.0,-0.0,147.59,0.4
2,460.5,2.13,0.0,458.37,0.0,-0.0,147.59,0.4
3,439.5,57.15,0.0,382.35,0.0,-0.0,147.59,0.4
4,406.5,67.89,0.0,338.61,0.0,-0.0,147.59,0.4
5,378.0,116.42,0.53,261.04,0.0,-0.0,147.59,0.4
6,424.5,136.5,70.93,217.07,0.0,-0.0,147.59,0.4
7,334.5,277.29,84.25,0.0,27.04,0.0,173.28,1.0
8,438.0,242.06,171.54,0.0,0.0,24.4,147.59,1.0
9,424.5,440.09,277.79,0.0,293.37,0.0,426.3,1.0
10,430.5,799.28,0.0,0.0,368.78,0.0,776.63,1.0
11,543.0,720.3,191.48,0.0,368.78,0.0,1126.97,1.0
12,669.0,516.59,242.4,0.0,89.98,0.0,1212.46,1.0
13,756.0,299.92,499.63,0.0,43.55,0.0,1253.83,1.0
14,682.5,432.75,328.17,0.0,78.42,0.0,1328.33,1.0
15,759.0,198.25,308.08,0.0,0.0,252.67,1062.36,1.0
16,424.5,108.28,147.65,0.0,0.0,168.58,884.91,1.0
17,466.5,24.44,63.78,46.61,0.0,331.67,535.78,1.0
18,627.0,26.45,10.88,220.89,0.0,368.78,147.59,1.0
19,334.5,44.63,0.0,289.87,0.0,-0.0,147.59,1.0
20,343.5,52.9,0.0,290.6,0.0,-0.0,147.59,1.0
21,541.5,28.81,0.0,512.69,0.0,-0.0,147.59,1.0
22,453.0,8.27,0.0,444.73,-0.0,0.0,147.59,0.4
23,436.5,0.0,0.0,436.5,0.0,0.0,147.59,0.4
